"Nome.Pa","Cultura","Freq"
"PA TANCREDO NEVES","Melancia",0
"PA VOLTA DO TAPIRAPÉ","Melancia",0
"PA 17 DE ABRIL","Milho",27
"PA BOM JARDIM","Milho",39
"PA COLONIA S. JOSE DO XINGU","Milho",32
"PA CONCEIÇÃO","Milho",14
"PA CUPÚ","Milho",10
"PA LINDOESTE","Milho",0
"PA MATA VERDE","Milho",11
"PA PE JOSIMO TAVARES","Milho",40
"PA RIO CINZA","Milho",0
"PA TANCREDO NEVES","Milho",1
"PA VOLTA DO TAPIRAPÉ","Milho",24
"PA 17 DE ABRIL","Outros",33
"PA BOM JARDIM","Outros",28
"PA COLONIA S. JOSE DO XINGU","Outros",233
"PA CONCEIÇÃO","Outros",0
"PA CUPÚ","Outros",10
"PA LINDOESTE","Outros",3
"PA MATA VERDE","Outros",1
"PA PE JOSIMO TAVARES","Outros",3
"PA RIO CINZA","Outros",5
"PA TANCREDO NEVES","Outros",7
"PA VOLTA DO TAPIRAPÉ","Outros",1
"PA 17 DE ABRIL","Pepino",0
"PA BOM JARDIM","Pepino",0
"PA COLONIA S. JOSE DO XINGU","Pepino",0
"PA CONCEIÇÃO","Pepino",0
"PA CUPÚ","Pepino",0
"PA LINDOESTE","Pepino",0
"PA MATA VERDE","Pepino",0
"PA PE JOSIMO TAVARES","Pepino",1
"PA RIO CINZA","Pepino",0
"PA TANCREDO NEVES","Pepino",0
"PA VOLTA DO TAPIRAPÉ","Pepino",0
"PA 17 DE ABRIL","Quiabo",0
"PA BOM JARDIM","Quiabo",1
"PA COLONIA S. JOSE DO XINGU","Quiabo",1
"PA CONCEIÇÃO","Quiabo",0
"PA CUPÚ","Quiabo",0
"PA LINDOESTE","Quiabo",0
"PA MATA VERDE","Quiabo",0
"PA PE JOSIMO TAVARES","Quiabo",1
"PA RIO CINZA","Quiabo",0
"PA TANCREDO NEVES","Quiabo",0
"PA VOLTA DO TAPIRAPÉ","Quiabo",0
"PA 17 DE ABRIL","Soja",0
"PA BOM JARDIM","Soja",0
"PA COLONIA S. JOSE DO XINGU","Soja",0
"PA CONCEIÇÃO","Soja",0
"PA CUPÚ","Soja",0
"PA LINDOESTE","Soja",0
"PA MATA VERDE","Soja",0
"PA PE JOSIMO TAVARES","Soja",10
"PA RIO CINZA","Soja",0
"PA TANCREDO NEVES","Soja",0
"PA VOLTA DO TAPIRAPÉ","Soja",0
