"Nome.Pa","Cultura","Freq"
"PA CUPu","Soja",0
"PA LINDOESTE","Soja",0
"PA MATA VERDE","Soja",0
"PA PE JOSIMO TAVARES","Soja",10
"PA RIO CINZA","Soja",0
"PA TANCREDO NEVES","Soja",0
"PA VOLTA DO TAPIRAPe","Soja",0
"PA 17 DE ABRIL","Sorgo",2
"PA BOM JARDIM","Sorgo",0
"PA COLONIA S. JOSE DO XINGU","Sorgo",0
"PA CONCEIcaO","Sorgo",0
"PA CUPu","Sorgo",0
"PA LINDOESTE","Sorgo",0
"PA MATA VERDE","Sorgo",0
"PA PE JOSIMO TAVARES","Sorgo",8
"PA RIO CINZA","Sorgo",0
"PA TANCREDO NEVES","Sorgo",0
"PA VOLTA DO TAPIRAPe","Sorgo",0
"PA 17 DE ABRIL","Tangerina",1
"PA BOM JARDIM","Tangerina",0
"PA COLONIA S. JOSE DO XINGU","Tangerina",0
"PA CONCEIcaO","Tangerina",0
"PA CUPu","Tangerina",0
"PA LINDOESTE","Tangerina",0
"PA MATA VERDE","Tangerina",0
"PA PE JOSIMO TAVARES","Tangerina",0
"PA RIO CINZA","Tangerina",0
"PA TANCREDO NEVES","Tangerina",0
"PA VOLTA DO TAPIRAPe","Tangerina",0
